evaluation,metric_type,comparison,level,reference,predicted,n_cases,confusion_type
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,05-99-00,3,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,05-05-00,3,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-04-00,,2,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-00-00,,2,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-09-00,,2,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,01-01-00,,2,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-03-00,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-04-99,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,BLANK,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-02-99,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-01-03,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-03-01,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-02-01,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-04-03,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,05-04-00,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-02-02,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,04-00-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-02-01,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,01-05-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,01-00-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,04-02-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,04-01-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-06-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-01-02,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,04-05-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,01-01-04,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-07-01,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,05-04-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,05-05-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,03-03-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,02-00-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-05-99,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-06-06,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,04-01-00,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-06-04,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-09-99,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-03-00,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-04-00,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-03-03,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-02,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,02-03-00,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-03,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,,01,59,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,,03,30,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,03,,13,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,01,,9,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,,04,9,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,,00,4,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,,05,4,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,04,,3,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,,BLANK,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,05,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,02,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level1,,02,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,01-01,49,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-01,33,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-08,33,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-09,25,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-04,21,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-01,,20,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-05,19,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-07,17,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-99,16,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-02,14,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-03,13,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,01-05,12,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,01-04,,11,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,01-04,11,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-08,,9,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,01-99,9,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-05,,6,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-09,,6,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-06,5,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,04-99,5,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,01-01,,4,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-04,,4,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,04-02,4,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,00-02,4,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,05-03,,3,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,05-03,3,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,05-99,3,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,05-05,3,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-00,,2,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,01-03,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,BLANK,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,05-04,2,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-02,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,04-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,01-05,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,01-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,04-02,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,04-01,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-06,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,04-05,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-07,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,05-04,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,05-05,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-03,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,02-00,,1,MISSED_BY_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,04-01,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,contributory,EXP1_contrib_set vs PHY_contrib,level2,,02-03,1,EXTRA_FROM_LLM
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-03-00,03-03-03,8,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-01,01-04-02,7,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-01,03-02-00,7,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-02-00,6,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-02,03-02-00,6,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-06,01-01-05,5,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,05-06-00,05-05-00,4,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-00-00,01-04-02,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-00-00,03-02-00,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-05-01,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-01,01-01-04,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-00,01-01-01,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-00,01-01-06,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-01-04,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-05,01-04-02,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-05,01-05-00,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-06,01-01-02,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-06,01-01-04,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-06,01-05-00,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-01-04,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,02-05-00,01-01-06,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-02,03-03-02,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-01-01,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-01-02,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-01-03,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-02-00,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-03-00,03-03-02,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-06-00,03-06-99,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,05-06-00,05-03-00,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-00-00,00-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-00-00,01-01-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-00-00,01-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-00-00,01-01-05,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-00-00,01-05-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-00-00,03-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-00-00,03-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-00-00,03-04-99,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-00,01-01-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-00,01-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-00,01-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-00,03-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-00,03-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-00,03-04-99,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-00,03-09-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-01,01-01-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-01,03-03-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-01,03-08-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-01,03-09-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-02,01-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-02,01-05-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-02,03-08-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-04,01-01-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-04,01-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-04,01-05-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-02-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-03-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-08-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-04,04-09-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-05,01-01-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-07-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-07-99,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-09-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-03-00,02-03-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-03-00,03-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-03-00,03-05-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-00,01-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-00,01-05-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-00,03-06-99,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-01,01-01-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-01,01-03-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-01,03-02-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-02,01-05-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-03,01-01-06,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-03,01-04-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,01-04-03,03-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-00-00,01-01-06,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-00-00,01-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-00-00,03-05-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-00,03-01-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-00,03-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-00,03-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-00,04-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-02,00-03-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-02,01-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-02,03-01-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-02,03-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-02,03-01-99,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-03,03-01-99,1,
