evaluation,metric_type,comparison,level,class_metric_kind,class,support,tp,fp,fn,precision,recall,f1,cohen_kappa_one_vs_rest
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-02-02,1,1,2,0,0.3333333333333333,1.0,0.5,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-00,14,0,1,14,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-01,1,0,1,1,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-02,3,1,6,2,0.14285714285714285,0.3333333333333333,0.2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-03,3,2,12,1,0.14285714285714285,0.6666666666666666,0.23529411764705882,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-03-99,0,0,1,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-00,2,0,1,2,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-01,1,1,0,0,1.0,1.0,1.0,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-02,1,1,6,0,0.14285714285714285,1.0,0.25,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-04-99,0,0,2,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-05-00,1,0,0,1,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-05-01,1,0,6,1,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-06-00,7,0,0,7,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-06-02,1,0,0,1,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-06-03,1,0,0,1,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-06-04,2,0,0,2,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-06-99,0,0,3,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-07-01,1,1,2,0,0.3333333333333333,1.0,0.5,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-07-99,0,0,1,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-08-00,8,5,4,3,0.5555555555555556,0.625,0.5882352941176471,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-08-01,3,0,2,3,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,03-09-01,0,0,3,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,04-00-00,2,0,0,2,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,04-01-00,2,1,1,1,0.5,0.5,0.5,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,04-02-00,1,0,1,1,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,04-03-00,3,2,0,1,1.0,0.6666666666666666,0.8,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,04-05-00,4,1,0,3,1.0,0.25,0.4,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,04-06-00,1,1,2,0,0.3333333333333333,1.0,0.5,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,04-08-00,1,0,0,1,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,04-09-00,0,0,2,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,04-99-00,0,0,2,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,05-03-00,1,0,2,1,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,05-05-00,1,1,5,0,0.16666666666666666,1.0,0.2857142857142857,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,single_label,05-06-00,16,7,0,9,1.0,0.4375,0.6086956521739131,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,00-02,0,0,3,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,00-03,0,0,1,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,00-04,0,0,1,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,01-00,14,0,0,14,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,01-01,98,54,20,44,0.7297297297297297,0.5510204081632653,0.6279069767441859,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,01-03,3,0,2,3,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,01-04,39,19,15,20,0.5588235294117647,0.48717948717948717,0.5205479452054794,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,01-05,2,2,10,0,0.16666666666666666,1.0,0.2857142857142857,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,02-03,2,2,2,0,0.5,1.0,0.6666666666666666,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,02-05,2,0,0,2,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,03-00,3,0,0,3,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,03-01,84,62,9,22,0.8732394366197183,0.7380952380952381,0.8,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,03-02,1,1,37,0,0.02631578947368421,1.0,0.05128205128205127,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,03-03,21,17,7,4,0.7083333333333334,0.8095238095238095,0.7555555555555556,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,03-04,4,2,9,2,0.18181818181818182,0.5,0.26666666666666666,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,03-05,2,1,5,1,0.16666666666666666,0.5,0.25,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,03-06,11,2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,03-07,1,1,3,0,0.25,1.0,0.4,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,03-08,11,6,5,5,0.5454545454545454,0.5454545454545454,0.5454545454545454,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,03-09,0,0,3,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,04-00,2,0,0,2,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,04-01,2,1,1,1,0.5,0.5,0.5,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,04-02,1,0,1,1,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,04-03,3,2,0,1,1.0,0.6666666666666666,0.8,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,04-05,4,1,0,3,1.0,0.25,0.4,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,04-06,1,1,2,0,0.3333333333333333,1.0,0.5,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,04-08,1,0,0,1,,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,04-09,0,0,2,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,04-99,0,0,2,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,05-03,1,0,2,1,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,05-05,1,1,5,0,0.16666666666666666,1.0,0.2857142857142857,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level2,single_label,05-06,16,7,0,9,1.0,0.4375,0.6086956521739131,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level1,single_label,00,0,0,5,0,0.0,,,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level1,single_label,01,156,101,21,55,0.8278688524590164,0.6474358974358975,0.7266187050359713,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level1,single_label,02,4,2,2,2,0.5,0.5,0.5,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level1,single_label,03,138,117,54,21,0.6842105263157895,0.8478260869565217,0.7572815533980581,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level1,single_label,04,14,8,5,6,0.6153846153846154,0.5714285714285714,0.5925925925925927,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,level1,single_label,05,18,15,0,3,1.0,0.8333333333333334,0.9090909090909091,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,00-02-00,0,0,12,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,00-03-00,0,0,14,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,00-04-00,0,0,1,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-00-00,30,0,0,30,,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-00,214,19,42,195,0.3114754098360656,0.08878504672897196,0.13818181818181816,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-01,206,158,228,48,0.40932642487046633,0.7669902912621359,0.5337837837837838,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-02,57,39,35,18,0.527027027027027,0.6842105263157895,0.5954198473282442,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-03,0,0,3,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-04,209,137,90,72,0.6035242290748899,0.6555023923444976,0.6284403669724771,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-05,70,22,44,48,0.3333333333333333,0.3142857142857143,0.3235294117647059,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-06,15,1,19,14,0.05,0.06666666666666667,0.05714285714285715,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-01-99,0,0,33,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-03-00,16,5,8,11,0.38461538461538464,0.3125,0.3448275862068966,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-04-00,41,1,1,40,0.5,0.024390243902439025,0.046511627906976744,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-04-01,40,29,98,11,0.2283464566929134,0.725,0.34730538922155685,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-04-02,801,565,43,236,0.9292763157894737,0.7053682896379525,0.8019872249822568,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-04-03,27,9,9,18,0.5,0.3333333333333333,0.4,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-05-00,52,39,74,13,0.34513274336283184,0.75,0.47272727272727283,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-07-00,3,3,0,0,1.0,1.0,1.0,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,01-99-00,0,0,26,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-00-00,9,0,0,9,,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-01-00,6,4,1,2,0.8,0.6666666666666666,0.7272727272727272,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-02-00,5,4,1,1,0.8,0.8,0.8000000000000002,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-03-00,17,12,1,5,0.9230769230769231,0.7058823529411765,0.8000000000000002,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-04-00,11,10,60,1,0.14285714285714285,0.9090909090909091,0.24691358024691357,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-05-00,6,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846153,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-06-00,1,0,2,1,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,02-99-00,0,0,7,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-00-00,47,0,0,47,,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-01-00,29,3,1,26,0.75,0.10344827586206896,0.18181818181818182,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-01-01,124,65,121,59,0.34946236559139787,0.5241935483870968,0.41935483870967744,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-01-02,145,54,23,91,0.7012987012987013,0.3724137931034483,0.4864864864864865,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-01-03,16,6,33,10,0.15384615384615385,0.375,0.2181818181818182,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-01-04,139,70,70,69,0.5,0.5035971223021583,0.5017921146953405,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-01-99,0,0,33,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-02-00,11,0,3,11,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-02-01,2,1,9,1,0.1,0.5,0.16666666666666669,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-02-02,38,35,14,3,0.7142857142857143,0.9210526315789473,0.8045977011494253,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-02-99,0,0,2,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-03-00,101,2,5,99,0.2857142857142857,0.019801980198019802,0.037037037037037035,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-03-01,9,3,31,6,0.08823529411764706,0.3333333333333333,0.13953488372093023,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-03-02,52,41,58,11,0.41414141414141414,0.7884615384615384,0.5430463576158939,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-03-03,47,28,23,19,0.5490196078431373,0.5957446808510638,0.5714285714285715,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-03-99,0,0,10,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-04-00,34,0,1,34,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-04-01,10,5,4,5,0.5555555555555556,0.5,0.5263157894736842,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-04-02,33,27,16,6,0.627906976744186,0.8181818181818182,0.7105263157894738,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-04-99,0,0,16,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-05-00,1,0,0,1,,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-05-01,72,50,6,22,0.8928571428571429,0.6944444444444444,0.78125,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-05-99,0,0,1,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-06-00,62,5,3,57,0.625,0.08064516129032258,0.14285714285714285,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-06-01,11,11,2,0,0.8461538461538461,1.0,0.9166666666666666,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-06-02,63,56,5,7,0.9180327868852459,0.8888888888888888,0.9032258064516128,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-06-03,15,8,3,7,0.7272727272727273,0.5333333333333333,0.6153846153846153,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-06-04,34,12,27,22,0.3076923076923077,0.35294117647058826,0.3287671232876712,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-06-05,7,7,3,0,0.7,1.0,0.8235294117647058,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-06-06,1,1,4,0,0.2,1.0,0.33333333333333337,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-06-07,0,0,22,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-06-99,0,0,55,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-07-00,16,0,0,16,,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-07-01,16,4,26,12,0.13333333333333333,0.25,0.1739130434782609,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-07-99,0,0,14,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-08-00,37,7,17,30,0.2916666666666667,0.1891891891891892,0.22950819672131148,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-08-01,11,0,0,11,,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-08-99,0,0,6,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-09-00,3,0,0,3,,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-09-01,57,36,39,21,0.48,0.631578947368421,0.5454545454545454,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,03-99-00,0,0,19,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-00-00,31,0,1,31,0.0,0.0,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-01-00,69,67,4,2,0.9436619718309859,0.9710144927536232,0.9571428571428571,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-02-00,20,14,7,6,0.6666666666666666,0.7,0.6829268292682926,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-03-00,55,48,0,7,1.0,0.8727272727272727,0.9320388349514563,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-04-00,5,2,1,3,0.6666666666666666,0.4,0.5,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-05-00,54,28,8,26,0.7777777777777778,0.5185185185185185,0.6222222222222222,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-06-00,14,13,8,1,0.6190476190476191,0.9285714285714286,0.742857142857143,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-07-00,4,4,2,0,0.6666666666666666,1.0,0.8,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-08-00,25,23,5,2,0.8214285714285714,0.92,0.8679245283018867,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-09-00,1,1,10,0,0.09090909090909091,1.0,0.16666666666666669,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,04-99-00,0,0,15,0,0.0,,,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,05-00-00,24,2,7,22,0.2222222222222222,0.08333333333333333,0.12121212121212122,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,05-03-00,145,122,22,23,0.8472222222222222,0.8413793103448276,0.8442906574394463,
Evaluation 1: EXP1 vs PHY,underlying,EXP1_underlying vs PHY_underlying,full,single_label,05-04-00,28,14,6,14,0.7,0.5,0.5833333333333334,
