evaluation,metric_type,comparison,level,reference,predicted,n_cases,confusion_type
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-06-04,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,99-00-00,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-09-99,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-03-00,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-04-00,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,03-03-03,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-02,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,02-03-00,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,full,,01-01-03,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,,01,69,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,,03,33,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,03,,14,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,01,,11,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,,04,9,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,,00,5,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,,05,4,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,04,,3,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,,BLANK,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,05,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,02,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,,99,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level1,,02,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,01-01,57,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-01,39,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-08,39,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-09,35,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-05,26,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-01,,25,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-04,25,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-99,21,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-07,21,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-02,18,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-03,17,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,01-04,14,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,01-05,13,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,01-04,,12,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-08,,10,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,01-99,10,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-05,,7,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-09,,6,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,03-06,6,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,01-01,,5,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-04,,5,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,00-02,5,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,04-99,5,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,04-02,4,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-00,,3,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,05-03,,3,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,BLANK,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,05-03,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,05-99,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,05-05,3,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,01-00,,2,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,01-03,2,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,05-04,2,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-02,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,04-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,01-05,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,04-02,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,04-01,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-06,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,04-05,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-07,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,05-04,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,05-05,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,03-03,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,02-00,,1,MISSED_BY_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,04-01,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,99-00,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,contributory,EXP1_contrib_set vs PHY_contrib,level2,,02-03,1,EXTRA_FROM_LLM
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,03-03-00,03-03-03,9,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-04-01,01-04-02,7,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-04-01,03-02-00,7,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-02-00,6,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,03-01-02,03-02-00,6,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,01-01-05,5,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,05-06-00,05-05-00,4,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-00-00,01-04-02,3,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-00-00,03-02-00,3,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-05-01,3,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-04-01,01-01-04,3,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-00,01-01-01,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-00,01-01-06,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-00,03-02-00,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-01-04,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-05,01-04-02,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-05,01-05-00,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,01-01-02,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,01-01-04,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,01-05-00,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-01-04,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,02-05-00,01-01-06,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,03-01-02,03-01-01,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,03-01-02,03-03-02,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-01-01,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-01-02,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-01-03,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-02-00,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,03-03-00,03-03-02,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,03-06-00,03-06-99,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,05-06-00,05-03-00,2,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-00-00,00-02-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-00-00,01-01-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-00-00,01-01-04,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-00-00,01-01-05,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-00-00,01-05-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-00-00,03-01-04,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-00-00,03-04-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-00-00,03-04-99,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-00,01-01-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-00,01-01-04,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-00,01-04-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-00,03-04-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-00,03-04-99,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-00,03-09-01,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-01,01-01-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-01,01-01-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-01,03-03-01,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-01,03-08-01,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-01,03-09-01,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-02,01-04-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-02,01-05-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-02,03-03-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-02,03-08-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-04,01-01-01,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-04,01-04-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-04,01-05-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-02-01,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-03-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-04-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-04,03-08-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-04,04-09-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-05,01-01-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,01-01-99,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-04-02,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-07-01,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-07-99,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,03-09-01,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-01-06,04-06-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-03-00,02-03-00,1,
Evaluation 1: EXP1 vs PHY,direct,EXP1_direct vs PHY_direct,full,01-03-00,03-02-00,1,
