evaluation,experiment,comparison,level,error_type,code,n_cases
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,05-06-00,18
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-01-04,17
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-07-00,16
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-03-00,14
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,05-04-00,13
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-04-01,12
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-01-02,12
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,02-00-00,10
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,01-05-00,10
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-03-02,8
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-01-03,8
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-09-01,7
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-03-03,7
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-06-03,7
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-06-02,6
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-03-01,6
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-09-00,5
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-01-01,5
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-04-01,5
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,04-02-00,4
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-07-01,4
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-02-00,4
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-05-01,3
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,02-01-00,2
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,04-08-00,2
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,04-01-00,2
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-02-01,2
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-05-00,2
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,04-03-00,2
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,03-02-02,2
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,02-06-00,1
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,02-04-00,1
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,04-04-00,1
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,02-05-00,1
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,02-03-00,1
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_negative_phy_code_missed_by_llm,02-02-00,1
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-09-01,722
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-01-04,577
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-08-00,500
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-05-00,447
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-01-01,420
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-01-00,404
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-02-00,398
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-01-01,358
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-08-99,292
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-04-01,271
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-99-00,247
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-03-99,239
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-04-99,225
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-01-05,224
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,00-02-00,191
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-03-03,188
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-01-99,179
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-99-00,172
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-01-06,171
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-07-01,155
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-01-99,152
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-01-02,147
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-06-99,136
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-07-99,124
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-01-02,123
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-03-02,114
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-04-02,111
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-04-02,110
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-01-04,109
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,02-04-00,104
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-99-00,94
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,05-03-00,93
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-02-02,82
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,05-05-00,81
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,05-06-00,81
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-02-99,72
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,05-99-00,71
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-05-01,66
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-01-03,65
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-03-01,57
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-03-00,43
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,00-04-00,41
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-08-01,40
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-04-01,38
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-09-00,32
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-06-07,31
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-06-04,31
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,99-00-00,30
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,00-03-00,30
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-04-03,29
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,02-99-00,27
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,05-08-00,25
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-02-00,24
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-03-00,24
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-04-00,22
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-02-01,20
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-06-06,18
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,05-04-00,18
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-05-00,18
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,02-03-00,17
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-06-00,16
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-09-99,16
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-04-00,15
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-04-99,15
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,02-05-00,13
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-00-00,11
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,05-00-00,10
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-06-01,8
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-01-03,8
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-05-99,8
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,05-02-00,8
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,02-02-00,7
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,02-00-00,7
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-03-00,7
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-06-00,7
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-06-03,6
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-06-05,6
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-07-00,5
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-06-02,5
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-08-00,5
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-01-00,5
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-01-00,4
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,02-06-00,4
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,05-01-00,3
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,04-04-00,2
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,02-01-00,2
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-07-00,2
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,03-09-00,1
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,00-01-00,1
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,01-00-00,1
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,false_positive_llm_extra_code_not_in_phy,05-09-00,1
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,01-04-02,677
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-01-01,202
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,01-01-04,202
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-01-04,184
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,05-05-00,182
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,01-01-01,177
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-01-02,140
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,05-03-00,131
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-05-01,108
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,05-06-00,99
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,01-01-00,73
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,04-01-00,70
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-06-02,59
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-09-01,58
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,04-03-00,56
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,01-04-01,55
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,01-01-02,55
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-03-02,47
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,01-05-00,45
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-03-03,43
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-04-02,42
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-02-02,38
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,01-01-05,38
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,03-08-00,36
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,04-05-00,36
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,04-08-00,24
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,04-02-00,18
Evaluation 1: EXP1 vs PHY,EXP1,EXP1_pooled_any_type vs PHY_pooled_any_type,full,true_positive_code_found_by_both,02-03-00,17
