stratum,stratum_value,experiment,metric_type,comparison,n_compared,n_agree,agreement,left_missing,right_missing
vatype,3,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,2,0,0.0,277,607
Sex,0,EXP1,direct,EXP1_direct vs PHY_direct,169,61,0.3609467455621302,0,2528
Sex,0,EXP1,underlying,EXP1_underlying vs PHY_underlying,2008,1110,0.5527888446215139,0,689
Sex,0,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,120,56,0.4666666666666667,177,2576
Sex,0,EXP2,direct,EXP2_direct vs PHY_direct,168,42,0.25,4,2528
Sex,0,EXP2,underlying,EXP2_underlying vs PHY_underlying,2007,896,0.44643746885899355,1,689
Sex,0,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,109,45,0.41284403669724773,677,2576
Sex,0,EXP3,direct,EXP3_direct vs PHY_direct,157,61,0.3885350318471338,343,2528
Sex,0,EXP3,underlying,EXP3_underlying vs PHY_underlying,1851,961,0.5191788222582387,342,689
Sex,0,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,85,35,0.4117647058823529,921,2576
Sex,0,EXP4,direct,EXP4_direct vs PHY_direct,168,37,0.22023809523809523,4,2528
Sex,0,EXP4,underlying,EXP4_underlying vs PHY_underlying,2007,908,0.45241654210264076,2,689
Sex,0,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,108,53,0.49074074074074076,640,2576
Sex,1,EXP1,direct,EXP1_direct vs PHY_direct,161,60,0.37267080745341613,0,2292
Sex,1,EXP1,underlying,EXP1_underlying vs PHY_underlying,1858,1017,0.5473627556512379,0,595
Sex,1,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,134,72,0.5373134328358209,120,2317
Sex,1,EXP2,direct,EXP2_direct vs PHY_direct,160,50,0.3125,13,2292
Sex,1,EXP2,underlying,EXP2_underlying vs PHY_underlying,1850,834,0.4508108108108108,9,595
Sex,1,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,122,66,0.5409836065573771,539,2317
Sex,1,EXP3,direct,EXP3_direct vs PHY_direct,152,61,0.40131578947368424,286,2292
Sex,1,EXP3,underlying,EXP3_underlying vs PHY_underlying,1728,866,0.5011574074074074,286,595
Sex,1,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,94,41,0.43617021276595747,820,2317
Sex,1,EXP4,direct,EXP4_direct vs PHY_direct,161,45,0.2795031055900621,3,2292
Sex,1,EXP4,underlying,EXP4_underlying vs PHY_underlying,1856,821,0.4423491379310345,3,595
Sex,1,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,126,81,0.6428571428571429,478,2317
age_group,0,EXP1,direct,EXP1_direct vs PHY_direct,24,12,0.5,0,777
age_group,0,EXP1,underlying,EXP1_underlying vs PHY_underlying,658,401,0.6094224924012158,0,143
age_group,0,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,12,4,0.3333333333333333,90,789
age_group,0,EXP2,direct,EXP2_direct vs PHY_direct,22,8,0.36363636363636365,6,777
age_group,0,EXP2,underlying,EXP2_underlying vs PHY_underlying,655,238,0.36335877862595417,3,143
age_group,0,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,7,0,0.0,369,789
age_group,0,EXP3,direct,EXP3_direct vs PHY_direct,23,10,0.43478260869565216,136,777
age_group,0,EXP3,underlying,EXP3_underlying vs PHY_underlying,571,371,0.649737302977233,136,143
age_group,0,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,7,3,0.42857142857142855,312,789
age_group,0,EXP4,direct,EXP4_direct vs PHY_direct,24,13,0.5416666666666666,3,777
age_group,0,EXP4,underlying,EXP4_underlying vs PHY_underlying,658,248,0.3768996960486322,1,143
age_group,0,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,6,0,0.0,337,789
age_group,1-4,EXP1,direct,EXP1_direct vs PHY_direct,25,12,0.48,0,625
age_group,1-4,EXP1,underlying,EXP1_underlying vs PHY_underlying,578,272,0.47058823529411764,0,72
age_group,1-4,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,17,3,0.17647058823529413,39,632
age_group,1-4,EXP2,direct,EXP2_direct vs PHY_direct,25,8,0.32,0,625
age_group,1-4,EXP2,underlying,EXP2_underlying vs PHY_underlying,578,223,0.38581314878892736,0,72
age_group,1-4,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,11,2,0.18181818181818182,162,632
age_group,1-4,EXP3,direct,EXP3_direct vs PHY_direct,23,8,0.34782608695652173,56,625
age_group,1-4,EXP3,underlying,EXP3_underlying vs PHY_underlying,557,259,0.4649910233393178,56,72
age_group,1-4,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,14,5,0.35714285714285715,182,632
age_group,1-4,EXP4,direct,EXP4_direct vs PHY_direct,25,6,0.24,0,625
age_group,1-4,EXP4,underlying,EXP4_underlying vs PHY_underlying,578,238,0.4117647058823529,0,72
age_group,1-4,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,14,6,0.42857142857142855,159,632
age_group,15-49,EXP1,direct,EXP1_direct vs PHY_direct,121,37,0.30578512396694213,0,1269
age_group,15-49,EXP1,underlying,EXP1_underlying vs PHY_underlying,1114,712,0.6391382405745063,0,276
age_group,15-49,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,45,19,0.4222222222222222,79,1345
age_group,15-49,EXP2,direct,EXP2_direct vs PHY_direct,121,20,0.1652892561983471,4,1269
age_group,15-49,EXP2,underlying,EXP2_underlying vs PHY_underlying,1112,628,0.564748201438849,3,276
age_group,15-49,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,41,16,0.3902439024390244,274,1345
age_group,15-49,EXP3,direct,EXP3_direct vs PHY_direct,115,43,0.3739130434782609,122,1269
age_group,15-49,EXP3,underlying,EXP3_underlying vs PHY_underlying,1051,551,0.5242626070409134,121,276
age_group,15-49,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,30,11,0.36666666666666664,413,1345
age_group,15-49,EXP4,direct,EXP4_direct vs PHY_direct,121,18,0.1487603305785124,2,1269
age_group,15-49,EXP4,underlying,EXP4_underlying vs PHY_underlying,1113,628,0.564240790655885,2,276
age_group,15-49,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,44,15,0.3409090909090909,251,1345
age_group,5-14,EXP1,direct,EXP1_direct vs PHY_direct,11,2,0.18181818181818182,0,238
age_group,5-14,EXP1,underlying,EXP1_underlying vs PHY_underlying,196,107,0.5459183673469388,0,53
age_group,5-14,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,5,1,0.2,30,244
age_group,5-14,EXP2,direct,EXP2_direct vs PHY_direct,11,3,0.2727272727272727,0,238
age_group,5-14,EXP2,underlying,EXP2_underlying vs PHY_underlying,196,88,0.4489795918367347,0,53
age_group,5-14,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,4,1,0.25,77,244
age_group,5-14,EXP3,direct,EXP3_direct vs PHY_direct,10,1,0.1,36,238
age_group,5-14,EXP3,underlying,EXP3_underlying vs PHY_underlying,179,84,0.4692737430167598,36,53
age_group,5-14,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,4,1,0.25,98,244
age_group,5-14,EXP4,direct,EXP4_direct vs PHY_direct,11,3,0.2727272727272727,1,238
age_group,5-14,EXP4,underlying,EXP4_underlying vs PHY_underlying,195,89,0.4564102564102564,1,53
age_group,5-14,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,4,3,0.75,70,244
age_group,50-64,EXP1,direct,EXP1_direct vs PHY_direct,48,15,0.3125,0,518
age_group,50-64,EXP1,underlying,EXP1_underlying vs PHY_underlying,410,232,0.5658536585365853,0,156
age_group,50-64,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,38,25,0.6578947368421053,22,528
age_group,50-64,EXP2,direct,EXP2_direct vs PHY_direct,48,14,0.2916666666666667,3,518
age_group,50-64,EXP2,underlying,EXP2_underlying vs PHY_underlying,409,202,0.4938875305623472,1,156
age_group,50-64,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,35,26,0.7428571428571429,89,528
age_group,50-64,EXP3,direct,EXP3_direct vs PHY_direct,44,14,0.3181818181818182,67,518
age_group,50-64,EXP3,underlying,EXP3_underlying vs PHY_underlying,381,187,0.49081364829396323,67,156
age_group,50-64,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,32,16,0.5,163,528
age_group,50-64,EXP4,direct,EXP4_direct vs PHY_direct,47,10,0.2127659574468085,1,518
age_group,50-64,EXP4,underlying,EXP4_underlying vs PHY_underlying,409,197,0.48166259168704156,1,156
age_group,50-64,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,36,28,0.7777777777777778,81,528
age_group,65+,EXP1,direct,EXP1_direct vs PHY_direct,101,43,0.42574257425742573,0,1393
age_group,65+,EXP1,underlying,EXP1_underlying vs PHY_underlying,910,403,0.44285714285714284,0,584
age_group,65+,EXP1,contributory,EXP1_contrib_set contains PHY_contrib,137,76,0.5547445255474452,37,1355
age_group,65+,EXP2,direct,EXP2_direct vs PHY_direct,101,39,0.38613861386138615,4,1393
age_group,65+,EXP2,underlying,EXP2_underlying vs PHY_underlying,907,351,0.3869900771775083,3,584
age_group,65+,EXP2,contributory,EXP2_contrib_set contains PHY_contrib,133,66,0.49624060150375937,245,1355
age_group,65+,EXP3,direct,EXP3_direct vs PHY_direct,94,46,0.48936170212765956,212,1393
age_group,65+,EXP3,underlying,EXP3_underlying vs PHY_underlying,840,375,0.44642857142857145,212,584
age_group,65+,EXP3,contributory,EXP3_contrib_set contains PHY_contrib,92,40,0.43478260869565216,573,1355
age_group,65+,EXP4,direct,EXP4_direct vs PHY_direct,101,32,0.31683168316831684,0,1393
age_group,65+,EXP4,underlying,EXP4_underlying vs PHY_underlying,910,329,0.36153846153846153,0,584
age_group,65+,EXP4,contributory,EXP4_contrib_set contains PHY_contrib,130,82,0.6307692307692307,220,1355
